City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Pemangkat,ID,77.41,overcast clouds,1.1667,108.9667,Ramah Kost KITA
3,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
4,Rikitea,PF,76.95,overcast clouds,-23.1203,-134.9692,Pension Maro'i
8,San Marcos De Colon,HN,89.33,scattered clouds,13.4333,-86.8,Hotel Colonial
13,Pemba,MZ,75.45,clear sky,-12.974,40.5178,Guesthouse Samotina
14,Kudahuvadhoo,MV,83.95,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
16,Oriximina,BR,79.88,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
18,Hilo,US,81.81,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
27,Oranjestad,AW,84.15,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
33,Akdepe,TM,82.4,clear sky,42.0551,59.3788,Мой дом
34,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
37,Singapore,SG,82.26,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
38,Butaritari,KI,82.49,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
40,Muli,MV,83.88,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
44,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Dingle,PH,78.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
51,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Harper,LR,80.49,light rain,4.375,-7.7169,Screensaver
56,Port Blair,IN,80.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
76,Hami,CN,77.18,overcast clouds,42.8,93.45,Laoyutang Resort
78,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
83,Faanui,PF,79.95,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
90,Kentau,KZ,77.09,broken clouds,43.5206,68.5094,Homestay Betty's B&B
92,Atuona,PF,78.94,few clouds,-9.8,-139.0333,Villa Enata
99,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
103,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
104,Alofi,NU,80.49,moderate rain,-19.0595,-169.9187,Taloa Heights
105,Copala,MX,87.35,broken clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
107,Laguna,US,89.2,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
112,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
120,Ipixuna,BR,84.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
127,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
130,San Patricio,US,83.84,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
137,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
146,Mazatlan,MX,87.76,scattered clouds,23.2167,-106.4167,Hotel Club Playamar
148,Samarai,PG,78.53,overcast clouds,-10.6167,150.6667,Nuli Sapi
150,Arang,IN,89.91,overcast clouds,21.2,81.9667,Hotel Kunwar Shree
152,Biltine,TD,89.49,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
154,Mogadishu,SO,78.33,overcast clouds,2.0371,45.3438,Hotel Juba
158,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
159,Kolondieba,ML,89.44,broken clouds,11.0882,-6.8926,Hotel Dakan
160,Sinnamary,GF,78.4,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
164,Sabang,ID,80.42,heavy intensity rain,5.8933,95.3214,Hotel Citra
167,Yendi,GH,85.44,clear sky,9.4427,-0.0099,Eyarro Lodge
168,La Palma,US,86.32,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
