,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,35.71,55,40,19.08,scattered clouds
1,Pemangkat,ID,1.1667,108.9667,77.41,89,100,5.21,overcast clouds
2,Busselton,AU,-33.65,115.3333,54.09,86,97,20.38,light rain
3,Pangai,TO,-19.8,-174.35,78.91,69,75,2.3,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.95,86,96,20.65,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,29.86,93,75,21.85,light snow
6,Kangaatsiaq,GL,68.3065,-53.4641,45.75,44,57,14.38,broken clouds
7,Carnarvon,AU,-24.8667,113.6333,57.27,100,3,6.91,clear sky
8,San Marcos De Colon,HN,13.4333,-86.8,89.33,24,25,6.08,scattered clouds
9,Masterton,NZ,-40.9597,175.6575,53.94,89,100,3.15,overcast clouds
10,Lagoa,PT,39.05,-27.9833,63.19,80,50,7.11,scattered clouds
11,Pisco,PE,-13.7,-76.2167,66.02,88,90,6.91,overcast clouds
12,Albany,US,42.6001,-73.9662,53.15,71,100,3.51,overcast clouds
13,Pemba,MZ,-12.974,40.5178,75.45,70,0,4.03,clear sky
14,Kudahuvadhoo,MV,2.6708,72.8944,83.95,71,96,21.03,overcast clouds
15,Mahajanga,MG,-15.7167,46.3167,73.42,83,20,4.61,few clouds
16,Oriximina,BR,-1.7656,-55.8661,79.88,79,35,2.64,scattered clouds
17,Collie,AU,-33.3667,116.15,51.98,97,87,7.36,overcast clouds
18,Hilo,US,19.7297,-155.09,81.81,72,20,11.5,few clouds
19,Tiznit,MA,29.5833,-9.5,80.26,33,100,5.3,overcast clouds
20,Zharkovskiy,RU,55.849,32.2697,46.56,78,54,7.11,broken clouds
21,Mount Isa,AU,-20.7333,139.5,46.17,53,0,5.75,clear sky
22,Severnyy,RU,50.677,36.5532,64.44,82,0,4.47,light rain
23,Nikolskoye,RU,59.7035,30.7861,46.78,78,3,4.38,clear sky
24,Kodiak,US,57.79,-152.4072,47.71,87,90,9.22,moderate rain
25,Constitucion,CL,-35.3333,-72.4167,54.03,75,98,10.27,overcast clouds
26,Lompoc,US,34.6391,-120.4579,71.02,71,90,18.41,overcast clouds
27,Oranjestad,AW,12.524,-70.027,84.15,69,20,8.01,few clouds
28,Chuy,UY,-33.6971,-53.4616,48.51,60,29,12.48,scattered clouds
29,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,6.91,broken clouds
30,Hobart,AU,-42.8794,147.3294,47.26,78,75,3.0,broken clouds
31,Mataura,NZ,-46.1927,168.8643,49.48,95,100,3.8,overcast clouds
32,Khatanga,RU,71.9667,102.5,39.61,75,97,8.84,overcast clouds
33,Akdepe,TM,42.0551,59.3788,82.4,19,1,13.51,clear sky
34,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,78,0,3.44,clear sky
35,Luwingu,ZM,-10.2621,29.9271,52.12,62,7,3.58,clear sky
36,Hanyang,CN,32.1371,105.5126,64.22,78,100,0.63,light rain
37,Singapore,SG,1.2897,103.8501,82.26,85,75,5.19,broken clouds
38,Butaritari,KI,3.0707,172.7902,82.49,79,100,14.74,light rain
39,Talara,PE,-4.5772,-81.2719,77.76,73,0,14.97,clear sky
40,Muli,MV,2.9167,73.5667,83.88,71,98,20.92,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,46.92,77,31,3.42,scattered clouds
42,Atherton,GB,53.5237,-2.4935,62.15,84,9,3.49,clear sky
43,Marsaxlokk,MT,35.8419,14.5431,69.08,94,0,2.3,clear sky
44,Kapaa,US,22.0752,-159.319,82.38,69,20,4.0,few clouds
45,Adre,TD,13.4667,22.2,86.0,11,93,11.27,overcast clouds
46,Santa Cruz Del Sur,CU,20.7147,-77.9956,83.1,64,11,5.82,few clouds
47,Falciu,RO,46.2961,28.1408,59.22,73,76,3.94,broken clouds
48,Beroroha,MG,-21.6667,45.1667,61.99,73,0,2.55,clear sky
49,Tandil,AR,-37.3217,-59.1332,39.36,57,2,6.91,clear sky
50,Dingle,PH,10.9995,122.6711,78.58,89,96,2.17,overcast clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,48,10.0,scattered clouds
52,Mahebourg,MU,-20.4081,57.7,74.25,94,40,3.44,light rain
53,Thompson,CA,55.7435,-97.8558,53.76,76,90,11.5,overcast clouds
54,Harper,LR,4.375,-7.7169,80.49,84,93,8.79,light rain
55,Saint George,US,37.1041,-113.5841,95.47,10,1,1.99,clear sky
56,Port Blair,IN,11.6667,92.75,80.92,83,100,5.17,overcast clouds
57,Katsuura,JP,35.1333,140.3,70.11,79,99,5.26,overcast clouds
58,Grenfell,AU,-33.9,148.1667,39.61,75,0,5.84,clear sky
59,Mildura,AU,-34.2,142.15,30.16,100,0,3.44,clear sky
60,Marfino,RU,55.7028,37.3822,52.09,86,75,13.33,broken clouds
61,Glenluce,GB,54.8798,-4.8084,55.29,88,5,1.1,clear sky
62,Provideniya,RU,64.3833,-173.3,45.97,45,4,10.38,clear sky
63,Talnakh,RU,69.4865,88.3972,24.75,98,92,3.47,overcast clouds
64,Port Elizabeth,ZA,-33.918,25.5701,55.69,94,75,3.44,light rain
65,Bluff,NZ,-46.6,168.3333,49.8,89,100,22.46,overcast clouds
66,Beloha,MG,-25.1667,45.05,63.75,80,0,5.35,clear sky
67,Taoudenni,ML,22.6783,-3.9836,101.05,7,34,9.19,scattered clouds
68,Saint-Francois,FR,46.4154,3.9054,59.68,63,0,3.44,clear sky
69,Tasiilaq,GL,65.6145,-37.6368,39.36,93,100,12.73,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,31.41,93,100,16.69,overcast clouds
71,Whitehorse,CA,60.7161,-135.0538,55.02,45,90,18.99,overcast clouds
72,Caconda,AO,-13.7333,15.0667,55.29,40,87,3.06,overcast clouds
73,Hasaki,JP,35.7333,140.8333,68.29,82,99,11.05,overcast clouds
74,Carballo,ES,43.213,-8.691,61.02,91,100,7.99,overcast clouds
75,Yining,CN,29.0361,114.5636,63.36,89,82,1.81,broken clouds
76,Hami,CN,42.8,93.45,77.18,23,92,8.79,overcast clouds
77,Korla,CN,41.7597,86.1469,72.61,39,83,21.0,broken clouds
78,Vaini,TO,-21.2,-175.2,75.36,94,75,0.0,light rain
79,Bethel,US,41.3712,-73.414,49.19,85,100,3.0,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,10.36,overcast clouds
81,Nishihara,JP,26.1842,127.7558,69.46,94,75,17.98,broken clouds
82,Hermanus,ZA,-34.4187,19.2345,56.89,82,56,5.91,broken clouds
83,Faanui,PF,-16.4833,-151.75,79.95,68,21,7.25,few clouds
84,Hammerfest,NO,70.6634,23.6821,41.45,87,90,26.46,overcast clouds
85,Havoysund,NO,70.9963,24.6622,41.88,89,100,26.24,overcast clouds
86,Codrington,AU,-38.2667,141.9667,39.65,95,7,7.0,clear sky
87,Port Alfred,ZA,-33.5906,26.891,59.56,76,96,14.25,light rain
88,Pierre,US,44.3683,-100.351,63.52,67,90,6.91,overcast clouds
89,Niamey,NE,13.5137,2.1098,97.09,26,4,3.44,clear sky
90,Kentau,KZ,43.5206,68.5094,77.09,27,82,6.44,broken clouds
91,Vrangel,RU,42.7297,133.0839,50.86,86,85,0.89,overcast clouds
92,Atuona,PF,-9.8,-139.0333,78.94,72,13,9.17,few clouds
93,Yar-Sale,RU,66.8333,70.8333,42.85,73,60,8.68,broken clouds
94,Battle Creek,US,42.3212,-85.1797,64.78,29,1,10.36,clear sky
95,Cape Town,ZA,-33.9258,18.4232,57.11,90,20,1.57,few clouds
96,Faya,SA,18.3851,42.4509,69.91,38,100,0.83,overcast clouds
97,Menongue,AO,-14.6585,17.691,51.94,41,23,3.31,few clouds
98,Erzin,TR,36.9559,36.2,70.52,88,30,0.94,scattered clouds
99,Conde,BR,-7.2597,-34.9075,78.26,78,0,8.75,clear sky
100,Birjand,IR,32.8663,59.2211,70.27,18,0,4.61,clear sky
101,Bowen,AU,-20.0167,148.2333,64.62,81,66,12.8,broken clouds
102,Sitka,US,57.0531,-135.33,55.29,54,40,18.41,scattered clouds
103,Avarua,CK,-21.2078,-159.775,77.05,61,20,6.91,few clouds
104,Alofi,NU,-19.0595,-169.9187,80.49,89,45,5.75,moderate rain
105,Copala,MX,16.65,-98.9833,87.35,58,69,8.25,broken clouds
106,Airai,TL,-8.9266,125.4092,54.93,89,46,1.97,scattered clouds
107,Laguna,US,38.421,-121.4238,89.2,40,1,4.0,clear sky
108,Swan Hill,AU,-35.3378,143.5544,38.86,88,0,4.72,clear sky
109,Storforshei,NO,66.4043,14.5233,45.66,93,82,1.1,broken clouds
110,Ahipara,NZ,-35.1667,173.1667,56.64,76,91,11.3,overcast clouds
111,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,36,2.66,scattered clouds
112,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,85,31,11.74,scattered clouds
113,Holice,CZ,50.066,15.9859,51.26,84,0,6.96,clear sky
114,Lensk,RU,60.7253,114.9278,48.25,90,100,9.66,overcast clouds
115,Castro,BR,-24.7911,-50.0119,67.55,69,57,4.92,broken clouds
116,Kuusamo,FI,65.9667,29.1833,30.24,86,0,3.44,clear sky
117,Mafeteng,LS,-29.823,27.2374,39.51,56,76,2.24,broken clouds
118,Gewane,ET,10.1664,40.6453,84.43,35,8,8.39,clear sky
119,Princeville,CA,45.7668,-61.2985,48.13,86,90,4.0,moderate rain
120,Ipixuna,BR,-1.7625,-48.8043,84.15,82,99,2.93,overcast clouds
