,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Moen,NO,69.1304,18.6123,52.52,43,20,9.22,few clouds
1,Carnarvon,AU,-24.8667,113.6333,68.07,83,75,12.66,broken clouds
2,Biella,IT,45.5871,8.0859,74.55,68,92,3.98,overcast clouds
3,Lufilufi,WS,-13.8745,-171.5986,76.78,73,93,13.38,overcast clouds
4,Barrow,US,71.2906,-156.7887,30.22,86,90,8.05,overcast clouds
5,Hithadhoo,MV,-0.6,73.0833,83.34,72,85,16.55,overcast clouds
6,Busselton,AU,-33.65,115.3333,56.08,82,98,9.4,overcast clouds
7,Port Elizabeth,ZA,-33.918,25.5701,66.49,59,20,26.46,few clouds
8,Ushuaia,AR,-54.8,-68.3,31.66,74,75,12.66,broken clouds
9,Bluff,NZ,-46.6,168.3333,49.8,87,100,20.78,overcast clouds
10,Hobart,AU,-42.8794,147.3294,46.26,77,75,1.01,broken clouds
11,Dingle,PH,10.9995,122.6711,79.63,87,98,2.75,overcast clouds
12,Cherskiy,RU,68.75,161.3,47.71,50,20,8.97,few clouds
13,Sinnamary,GF,5.3833,-52.95,80.2,83,88,8.1,overcast clouds
14,Coihaique,CL,-45.5752,-72.0662,40.95,52,75,4.61,broken clouds
15,Upernavik,GL,72.7868,-56.1549,31.1,95,97,16.89,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,42.33,70,20,3.0,few clouds
17,Katsuura,JP,35.1333,140.3,73.11,79,75,18.99,broken clouds
18,Yeppoon,AU,-23.1333,150.7333,64.18,75,100,16.67,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,77.25,84,38,4.9,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,76.82,86,59,20.07,broken clouds
21,Kapaa,US,22.0752,-159.319,73.72,65,20,1.01,few clouds
22,Atuona,PF,-9.8,-139.0333,78.67,70,16,10.74,few clouds
23,Albany,US,42.6001,-73.9662,45.52,93,100,5.66,heavy intensity rain
24,Mount Isa,AU,-20.7333,139.5,56.97,33,0,5.75,clear sky
25,Sandpoint,US,48.2766,-116.5533,48.72,92,1,0.0,clear sky
26,Pueblo,US,38.2545,-104.6091,75.74,76,1,5.12,clear sky
27,Namatanai,PG,-3.6667,152.4333,79.61,83,100,7.56,overcast clouds
28,Ponta Delgada,PT,37.7333,-25.6667,68.72,64,20,10.36,few clouds
