City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-05-26 00:51:33,3.0707,172.7902,82.62,77,100,18.86
1,Marawi,PH,2021-05-26 00:53:36,7.9986,124.2928,71.65,68,82,3.65
2,Bredasdorp,ZA,2021-05-26 00:52:08,-34.5322,20.0403,52.92,76,58,5.53
3,Cayenne,GF,2021-05-26 00:53:37,4.9333,-52.3333,80.1,88,0,1.99
4,Cape Town,ZA,2021-05-26 00:51:30,-33.9258,18.4232,58.12,81,75,1.99
5,Rikitea,PF,2021-05-26 00:51:21,-23.1203,-134.9692,77.59,77,35,16.04
6,Kodiak,US,2021-05-26 00:52:00,57.79,-152.4072,58.51,44,1,6.91
7,Camacha,PT,2021-05-26 00:53:39,33.0833,-16.3333,62.02,63,75,18.41
8,Bluff,NZ,2021-05-26 00:53:39,-46.6,168.3333,49.8,49,62,3.62
9,Ushuaia,AR,2021-05-26 00:50:41,-54.8,-68.3,31.66,86,75,23.02
10,Luzhou,CN,2021-05-26 00:53:40,28.8724,105.4405,63.86,95,100,4.97
11,Hobart,AU,2021-05-26 00:48:20,-42.8794,147.3294,55.26,69,75,4.0
12,Barrow,US,2021-05-26 00:53:42,71.2906,-156.7887,30.02,89,19,5.99
13,Georgetown,MY,2021-05-26 00:52:03,5.4112,100.3354,82.89,79,20,1.01
14,Meulaboh,ID,2021-05-26 00:52:26,4.1363,96.1285,80.2,78,96,4.41
15,Kapaa,US,2021-05-26 00:53:44,22.0752,-159.319,84.18,69,42,1.99
16,Albany,US,2021-05-26 00:53:47,42.6001,-73.9662,73.98,65,100,5.06
